size,name,pnm_sku,vendor_stock_number,unit_of_measure,pack_size,pack,price,case_price,category,sub_category
,"2"" x 110 yds. Clear 3M 311 Carton Sealing Tape",,T902311,CS,36/Cs-60Cs/Skid,1,,,,1053
,"2"" x 110 yds. Clear (6 Pack) 3M 311 Carton Sealing Tape",,T9023116PK,CS,6 Rolls/Cs ,1,,,,1053
,"3"" x 110 yds. Clear 3M 311 Carton Sealing Tape",,T905311,CS,24/Cs-60Cs/Skid,1,,,,1053
,"3"" x 110 yds. Clear (6 Pack) 3M 311 Carton Sealing Tape",,T9053116PK,CS,6 Rolls/Cs ,1,,,,1053
,"2"" x 55 yds. Clear 3M 313 Carton Sealing Tape",,T902313,CS,36/Cs-48Cs/Skid,1,,,,1054
,"2"" x 55 yds. Clear (6 Pack) 3M 313 Carton Sealing Tape",,T9023136PK,CS,6/Case ,1,,,,1054
,"2"" x 110 yds. Clear 3M 313 Carton Sealing Tape",,T906313,CS,36/Cs-48Cs/Skid,1,,,,1054
,"2"" x 110 yds. Clear (6 Pack) 3M 313 Carton Sealing Tape",,T9063136PK,CS,6/Case ,1,,,,1054
,"3"" x 55 yds. Clear 3M 313 Carton Sealing Tape",,T905313,CS,24/Cs-48Cs/Skid,1,,,,1054
,"3"" x 55 yds. Clear (6 Pack) 3M 313 Carton Sealing Tape",,T9053136PK,CS,6/Case ,1,,,,1054
,"3"" x 110 yds. Clear 3M 313 Carton Sealing Tape",,T907313,CS,24/Cs-48Cs/Skid,1,,,,1054
,"3"" x 110 yds. Clear (6 Pack) 3M 313 Carton Sealing Tape",,T9073136PK,CS,6/Case ,1,,,,1054
,"2"" x 110 yds. Clear Tape Logic? #6651 Cold Temperature Tape",,T9026651,CS,36 Rolls/Cs ,1,,,,1055
,"2"" x 110 yds. Clear (6 Pack) Tape Logic? #6651 Cold Temperature Tape",,T90266516PK,CS,6 Rolls/Cs ,1,,,,1055
,"3"" x 110 yds. Clear Tape Logic? #6651 Cold Temperature Tape",,T9056651,CS,24 Rolls/Cs ,1,,,,1055
